Key,Summary,Assignee,Reporter,Status,Resolution,Created,Updated,Due,Application Url
USCISICAM-3482,DID(it) BADS,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3482
USCISICAM-3481,DID(it) AST Error Tracker,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3481
USCISICAM-3480,DID(it) Asset Manager,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3480
USCISICAM-3479,DID(it) App Store,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3479
USCISICAM-3478,Pivotal Cloud Foundry,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3478
USCISICAM-3476,DID(it) Union Time,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3476
USCISICAM-3475,DID(it) Ride the Tide,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3475
USCISICAM-3474,VIS SVS MOD,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3474
USCISICAM-3473,FIPS Case360,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3473
USCISICAM-3472,DID(it) Scheduler,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3472
USCISICAM-3471,DID(it) RAMT,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3471
USCISICAM-3470,DID(it) RAD,Unassigned,rachel.e.whitt@uscis.dhs.gov,NOT STARTED,Unresolved,18-Jan-17,18-Jan-17,,https://sharedservices.dhs.gov/jira/browse/USCISICAM-3470
